"quarter","molecule","product_type","brand","suffix","company","is_sb","is_orig","hcpcs_code","desc","payment_limit","addon_pct","ira_qualifying","asp_per_unit","asp","notes"
"2023 Q4 (Oct)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","199.552","6","False","188.38","941.9",""
"2024 Q1 (Jan)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","187.511","8","True","173.356057","866.78","8% of reference add-on applied"
"2024 Q2 (Apr)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","175.058","6","False","165.244151","826.22","8% of reference add-on applied"
"2024 Q3 (Jul)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","157.712","6","False","149.921849","749.61",""
"2024 Q4 (Oct)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","170.799","6","False","163.036585","815.18",""
"2025 Q1 (Jan)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","169.199","6","False","162.181321","810.91",""
"2025 Q3 (Jul)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","62.153","8","True","55.276623","276.38","8% of reference add-on applied"
"2025 Q4 (Oct)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","61.796","8","True","55.276453","276.38","8% of reference add-on applied"
"2026 Q1 (Jan)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","60.215","8","True","55.275906","276.38","8% of reference add-on applied"
"2026 Q2 (Apr)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","70.904","6","False","67.063264","335.32",""
"2023 Q3 (Jul)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","279.498","6","False","266.106509","1330.53","Added July 2023"
"2023 Q4 (Oct)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","273.264","6","False","262.092","1310.46",""
"2024 Q1 (Jan)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","262.079","6","False","251.462792","1257.31",""
"2024 Q2 (Apr)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","256.167","6","False","246.353151","1231.77",""
"2024 Q3 (Jul)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","204.567","6","False","196.776849","983.88",""
"2024 Q4 (Oct)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","201.011","6","False","193.248585","966.24",""
"2025 Q1 (Jan)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","168.744","6","False","161.726321","808.63",""
"2025 Q3 (Jul)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","86.513","8","True","79.636623","398.18","8% of reference add-on applied"
"2025 Q4 (Oct)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","86.156","8","True","79.636453","398.18","8% of reference add-on applied"
"2026 Q1 (Jan)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","83.34","6","False","79.635679","398.18",""
"2026 Q2 (Apr)","Ranibizumab","Biosimilar","Cimerli","ranibizumab-eqrn","Coherus","False","False","Q5128","Inj, cimerli, 0.1 mg","83.477","6","False","79.636264","398.18",""
"2021 Q1 (Jan)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","100.493","6","False","94.804717","3981.8","Updated July 2021"
"2021 Q2 (Apr)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","93.681","6","False","88.378302","3711.89",""
"2021 Q3 (Jul)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","90.976","6","False","85.826415","3604.71",""
"2021 Q4 (Oct)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","89.811","6","False","84.727358","3558.55",""
"2022 Q1 (Jan)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","86.41","6","False","81.518868","3423.79",""
"2022 Q2 (Apr)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","88.597","6","False","83.582075","3510.45",""
"2022 Q3 (Jul)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","86.607","6","False","81.704717","3431.6",""
"2022 Q4 (Oct)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","84.401","6","False","79.623585","3344.19",""
"2023 Q1 (Jan)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","82.743","6","False","78.059434","3278.5",""
"2023 Q2 (Apr)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","80.249","6","False","75.706604","3179.68",""
"2023 Q3 (Jul)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","81.079","6","False","76.489623","3212.56",""
"2023 Q4 (Oct)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","80.785","6","False","76.212264","3200.92",""
"2024 Q1 (Jan)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","80.465","6","False","75.910377","3188.24",""
"2024 Q2 (Apr)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","80.048","6","False","75.516981","3171.71",""
"2024 Q3 (Jul)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","78.082","6","False","73.662264","3093.82",""
